INFO  - 2016-05-13 10:57:54.699; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2016-05-13 10:57:54.733; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/contexts at interval 0
INFO  - 2016-05-13 10:57:54.742; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/contexts/solr-jetty-context.xml
INFO  - 2016-05-13 10:57:54.841; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/webapps/solr.war!/ to /home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr-webapp/webapp
INFO  - 2016-05-13 10:57:56.968; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2016-05-13 10:57:57.036; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2016-05-13 10:57:57.052; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-05-13 10:57:57.053; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2016-05-13 10:57:57.054; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2016-05-13 10:57:57.242; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/solr.xml
INFO  - 2016-05-13 10:57:57.348; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr
INFO  - 2016-05-13 10:57:57.370; org.apache.solr.core.CoreContainer; New CoreContainer 29228495
INFO  - 2016-05-13 10:57:57.371; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2016-05-13 10:57:57.397; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2016-05-13 10:57:57.398; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2016-05-13 10:57:57.406; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2016-05-13 10:57:57.412; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2016-05-13 10:57:57.413; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2016-05-13 10:57:57.413; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2016-05-13 10:57:57.414; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2016-05-13 10:57:57.414; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2016-05-13 10:57:57.415; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2016-05-13 10:57:57.415; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2016-05-13 10:57:57.650; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2016-05-13 10:57:57.652; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2016-05-13 10:57:57.653; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2016-05-13 10:57:57.656; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2016-05-13 10:57:57.705; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr
INFO  - 2016-05-13 10:57:57.720; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/
INFO  - 2016-05-13 10:57:57.721; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2016-05-13 10:57:57.724; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/'
INFO  - 2016-05-13 10:57:57.837; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2016-05-13 10:57:57.839; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2016-05-13 10:57:57.839; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2016-05-13 10:57:57.839; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2016-05-13 10:57:57.840; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2016-05-13 10:57:57.840; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2016-05-13 10:57:57.841; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2016-05-13 10:57:57.841; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2016-05-13 10:57:57.841; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2016-05-13 10:57:57.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2016-05-13 10:57:57.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2016-05-13 10:57:57.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
